location,total_cases,total_deaths,total_tests
Afghanistan,235214,7998,994894
Albania,335047,3605,1613870
Algeria,272139,6881,243261
Andorra,48015,159,300307
Angola,107481,1937,1618566
Anguilla,3904,12,21795
Antigua and Barbuda,9106,146,16700
Argentina,10101218,130663,37296219
Armenia,452273,8777,3102267
Aruba,44224,292,NaN
Australia,11861161,25236,77296734
Austria,6082444,22534,190000000
Azerbaijan,835757,10353,6947820
Bahamas,39127,849,256731
Bahrain,696614,1536,15000000
Bangladesh,2051348,29499,15309710
Barbados,108582,593,574345
Belarus,994037,7118,13646700
Belgium,4872829,34339,36725227
Belize,71414,688,591699
Benin,28036,163,825164
Bermuda,18860,165,1042533
Bhutan,62697,21,2221607
Bolivia,1212147,22387,2603470
Bonaire Sint Eustatius and Saba,11922,41,39865
Bosnia and Herzegovina,403666,16392,1618395
Botswana,330696,2801,2154519
Brazil,37511921,702116,63776510
British Virgin Islands,7557,64,111163
Brunei,347723,179,718301
Bulgaria,1329988,38700,10991950
Burkina Faso,22139,400,337580
Burundi,54569,15,304386
Cambodia,139319,3056,3056581
Cameroon,125246,1974,1195663
Canada,4819055,55282,64963503
Cape Verde,64474,417,330773
Cayman Islands,31472,37,226993
Central African Republic,15441,113,147517
Chad,7702,194,288863
Chile,5401126,62730,44252670
China,99373219,122304,160000000
Colombia,6391876,142727,41824142
Comoros,9109,160,52899
Congo,25227,389,418925
Costa Rica,1234701,9372,4331881
Cote d'Ivoire,88434,835,1625907
Croatia,1317144,18752,5410986
Cuba,1113662,8530,14282713
Curacao,45883,305,200277
Cyprus,696410,1451,8710385
Czech Republic,4761919,43509,56649718
Democratic Republic of Congo,101009,1474,785834
Denmark,3435679,9693,128522301
Djibouti,15690,189,350587
Dominica,16047,74,187658
Dominican Republic,661103,4384,3959952
Ecuador,1077445,36050,3121303
Egypt,516023,24830,4945195
El Salvador,201920,4230,2197177
Equatorial Guinea,17130,183,236412
Eritrea,10189,103,NaN
Estonia,610471,2998,5742203
Ethiopia,501193,7574,5393596
Faroe Islands,34658,28,775163
Falkland Islands,1923,0,10444
Fiji,69047,885,728956
Finland,1499712,11466,12971207
France,38997490,168091,271492328
French Polynesia,79387,650,570764
Gabon,49051,307,884742
Gambia,12627,372,126131
Georgia,1863615,17150,17406659
Germany,38437756,174979,122332211
Ghana,172062,1462,2470729
Gibraltar,20550,113,529369
Greece,5673681,39258,98661603
Greenland,11971,21,164287
Grenada,19693,238,141973
Guam,52287,419,626500
Guatemala,1250371,20203,4004071
Guernsey,35326,67,287265
Guinea,38572,468,735282
Guinea-Bissau,9614,177,147610
Guyana,74443,1302,699419
Haiti,34456,860,191630
Honduras,472896,11114,1225574
Hong Kong,2888911,13516,89052309
Hungary,2230800,49053,11394156
Iceland,210374,186,1991444
India,45041748,533623,935899479
Indonesia,6829399,162059,114382522
Iran,7627863,146837,54930325
Iraq,2465545,25375,19389973
Ireland,1745088,9744,12423188
Isle of Man,38008,116,237434
Israel,4841558,12707,42082218
Italy,26781078,197307,259683930
Jamaica,157181,3611,1320092
Japan,33803572,74694,88569850
Jersey,66391,161,714979
Jordan,1746997,14122,15307409
Kazakhstan,1504370,19072,14144186
Kenya,344106,5689,3833074
Kosovo,274279,3212,1829283
Kuwait,667290,2570,8352528
Kyrgyzstan,88953,1024,1675713
Laos,219060,671,1111634
Latvia,977765,7475,8072237
Lebanon,1239904,10947,4894676
Lesotho,36138,709,497255
Liberia,7930,294,236287
Libya,507269,6437,1045265
Liechtenstein,21588,89,110940
Lithuania,1369355,9810,11062094
Luxembourg,393542,1000,6692873
Macedonia,350924,9978,2195045
Madagascar,68567,1428,422031
Malawi,89168,2686,663673
Malaysia,5309410,37351,68673322
Maldives,186694,316,2028828
Mali,33166,743,673479
Malta,122796,922,2011933
Mauritania,63872,997,803126
Mauritius,328167,1073,1024317
Mexico,7619458,334551,19338006
Moldova,637520,12245,3180425
Monaco,17181,67,133279
Mongolia,1011489,2136,4124976
Montenegro,251280,2654,2697818
Montserrat,1403,8,20389
Morocco,1279115,16305,12711082
Mozambique,233843,2252,1319728
Myanmar,642885,19494,10076249
Namibia,172533,4108,1021487
Nepal,1003450,12031,6023197
Netherlands,8640008,22986,24754700
New Caledonia,80163,314,NaN
New Zealand,2639048,4284,7460395
Nicaragua,16185,245,440498
Niger,9518,315,367280
Nigeria,267188,3155,5328256
Northern Mariana Islands,14912,41,95301
Norway,1512647,5732,11467479
Oman,399449,4628,25175510
Pakistan,1580631,30656,30580556
Palestine,703228,5708,3105324
Panama,1044821,8748,6516147
Papua New Guinea,46864,670,288330
Paraguay,735759,19880,2577239
Peru,4526977,220975,36472483
Philippines,4140383,66864,33816654
Poland,6670799,120726,39688469
Portugal,5664109,28809,45091702
Puerto Rico,1252713,5938,6432028
Qatar,514524,690,15309710
Romania,3541619,68825,26169000
Russia,24268728,403188,6479005
Rwanda,133264,1468,112100
Saint Kitts and Nevis,6607,46,211099
Saint Lucia,30282,410,116238
Saint Vincent and the Grenadines,9674,124,152862
San Marino,25292,126,152862
Sao Tome and Principe,6771,80,50466
Saudi Arabia,841469,9646,44850029
Senegal,89485,1971,1026074
Serbia,2583470,18057,12613143
Seychelles,51886,172,256860
Sierra Leone,7979,125,301077
Singapore,3006155,2024,44026600
Sint Maarten (Dutch part),11051,92,64283
Slovakia,1878002,21227,7338356
Slovenia,1356582,10083,2901323
Somalia,27334,1361,421699
South Africa,4072765,102595,26186357
South Korea,34571873,35934,158040685
South Sudan,18823,147,392289
Spain,13980340,121852,47103634
Sri Lanka,672798,16907,6995079
Sudan,63993,5046,386266
Suriname,82501,1406,267332
Swaziland,75195,1427,853046
Sweden,2755181,27399,18900000
Switzerland,4457868,14170,21350699
Syria,57423,3163,288825
Taiwan,10231343,18775,29693766
Tajikistan,17786,125,NaN
Tanzania,43230,846,NaN
Thailand,4799180,34715,17469769
Timor,12019,14,269550
Togo,39530,290,686738
Trinidad and Tobago,191496,4390,818042
Tunisia,1153361,29423,4945195
Turkey,17004718,101419,162985614
Turks and Caicos Islands,6805,40,94721
Uganda,172154,3632,2627448
Ukraine,5532777,109920,20127599
United Arab Emirates,1067030,2349,198000000
United Kingdom,24974629,232112,522194602
United States,103436829,1193165,1146247959
United States Virgin Islands,25389,132,279586
Uruguay,1041346,7682,6220892
Uzbekistan,175081,1016,13915856
Vatican,26,0,NaN
Venezuela,552695,5856,5521746
Vietnam,11624000,43206,85699471
Western Sahara,3760,9,NaN
Yemen,11945,2159,172937
Zambia,349842,4077,3892742
Zimbabwe,266386,5740,2603470
